logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
,1,"A group of dogs stand in the snow. Thus, there are animals outdoors."," ""A group of dogs stand in the snow."""," ""There are animals outdoors."""," IsStandingIn(a,b)", IsOutdoors(c),"[(' IsStandingIn(a,b)', ' IsOutdoors(c)'), (' IsOutdoors(c)', ' IsStandingIn(a,b)')]",[],"[(' A group of dogs', ' There are (animals) (outdoors)')]","IsStandingIn(a,b)",IsOutdoors(c),"(exists a (IsStandingIn(a,b)) & (forall b (forall a (forall c ( IsStandingIn(a,b) ->  IsOutdoors(c))))) & (forall b (forall a (forall c ( IsOutdoors(c) ->  IsStandingIn(a,b)))))) -> (forall c (IsOutdoors(c)))","(exists b (exists a (IsStandingIn(a,b))) & (forall d (forall e (forall f ( IsStandingIn(d,e) ->  IsOutdoors(f))))) & (forall h (forall g (forall i ( IsOutdoors(g) ->  IsStandingIn(h,i)))))) -> (exists c (IsOutdoors(c)))"
,1,This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.,,,,,[],[],[],,,() -> (),() -> ()
,1,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. As a consequence, people watch men in kilts.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A boy is riding down the road between two cows. Consequently, a boy, a road and two cows.",,,,,[],[],[],,,() -> (),() -> ()
,1,A bald man is getting out of a small blue car. It follows that the man is bald.,,,,,[],[],[],,,() -> (),() -> ()
,1,"Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background. Thus, young boys kicking around a soccer ball."," ""Young boys kick around a soccer ball."""," ""Other soccer games take place in the background."""," IsYoung(a),  IsKicked(a,b)", IsInBackground(d),[],[],"[(' Young boys', ' background'), (' soccer ball', ' Other soccer games')]","IsYoung(a) and IsKicked(a,b)",IsInBackground(c),"(exists b (IsYoung(a) and IsKicked(a,b))) -> (forall c (IsInBackground(c)))","(exists b (exists a (IsYoung(a) and IsKicked(a,b)))) -> (exists c (IsInBackground(c)))"
,1,"A girl playing a violin along with a group of people. Consequently, a girl is playing an instrument."," ""A girl plays an instrument."""," ""A girl plays a violin."""," IsPlays(a,b)"," IsPlays(a,b)",[],"[(' A girl', ' A girl'), (' instrument', ' violin')]",[],"IsPlays(a,b)","IsPlays(a,b)","(IsPlays(a,b)) -> (IsPlays(a,b))","(exists b (exists a (IsPlays(a,b)))) -> (exists b (exists a (IsPlays(a,b))))"
,1,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom. It follows that two boys washing their hands.," ""Two small boys wash their hands."""," ""Two boys use a wooden set of steps to wash their hands."""," IsSmall(a),  IsWashed(b)"," IsUse(c,d),  IsWashed(e)","[(' IsSmall(a)', '  IsWashed(e)')]",[],"[(' Two small boys', ' Two boys'), (' their hands.', ' their hands')]",IsSmall(a) and IsWashed(b),"IsUse(c,d) and IsWashed(e)","(exists b (exists a (IsSmall(a) and IsWashed(b))) & (forall e (forall a ( IsSmall(a) ->   IsWashed(e))))) -> (forall e (forall c (IsUse(c,d) and IsWashed(e))))","(exists b (exists a (IsSmall(a) and IsWashed(b))) & (forall g (forall f ( IsSmall(f) ->   IsWashed(g))))) -> (exists d (exists e (exists c (IsUse(c,d) and IsWashed(e)))))"
,1,A soccer player in white kicks a ball as another soccer player lunges towards the ball and a third soccer player in red follows close by. This implies that there are three soccer players.," ""A soccer player in white kicks a ball."""," ""There are three soccer players."""," IsInWhite(b),  Kicks(a,c)", IsThree(d),[],[],"[(' three soccer players', ' A soccer player')]","IsInWhite(b) and Kicks(a,c)",IsThree(d),"(forall a (IsInWhite(b) and Kicks(a,c))) -> (exists d (IsThree(d)))","(exists b (exists a (exists c (IsInWhite(b) and Kicks(a,c))))) -> (exists d (IsThree(d)))"
,1,"Children playing a video game together. Thus, the kids are indoors playing a video game."," ""Children are playing a video game together."""," ""The kids are indoors playing a video game."""," IsPlaying(b),  IsTogether(b,c)"," IsIndoors(d),  IsPlaying(a)",[],"[(' video game', ' video game')]","[(' Children', ' The kids'), (' The kids', ' together'), (' together', ' video game')]","IsPlaying(b) and IsTogether(b,c)",IsIndoors(d) and IsPlaying(a),"(forall c (exists b (IsPlaying(b) and IsTogether(b,c)))) -> (forall a (forall d (IsIndoors(d) and IsPlaying(a))))","(exists b (exists c (IsPlaying(b) and IsTogether(b,c)))) -> (exists d (exists a (IsIndoors(d) and IsPlaying(a))))"
,1,Two people in coats kiss on the side of a road. This implies that people show their appreciation for another.," ""Two people in coats kissed on the side of a road."""," ""People show their appreciation for another."""," IsInCoats(a),  IsKissedOnRoad(a)"," IsShownAppreciationFor(d,e)",[],[],"[(' Two people', ' another.'), (' road', ' another.')]",IsInCoats(a) and IsKissedOnRoad(a),"IsShownAppreciationFor(d,e)","(exists a (IsInCoats(a) and IsKissedOnRoad(a))) -> (forall e (IsShownAppreciationFor(d,e)))","(exists a (IsInCoats(a) and IsKissedOnRoad(a))) -> (exists d (exists e (IsShownAppreciationFor(d,e))))"
,1,Woman reading a book with a grocery tote. It follows that a woman is reading.," ""A woman is reading a book."""," ""A woman always reads a book.""", IsReading(a), IsAlwaysReading(c),"[(' IsAlwaysReading(c)', ' IsReading(a)')]","[(' book', ' book')]","[(' Woman', ' A woman')]",IsReading(b),IsAlwaysReading(a),(IsReading(b) & (forall a (forall c ( IsAlwaysReading(c) ->  IsReading(a))))) -> (IsAlwaysReading(a)),(exists b (IsReading(b)) & (forall d (forall e ( IsAlwaysReading(d) ->  IsReading(e))))) -> (exists a (IsAlwaysReading(a)))
,1,"A man wearing a brown hoodie is shopping for snacks. As a consequence, the man is wearing brown.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him. As a consequence, a man is in front of a camera."," ""A man is in front of a camera."""," ""A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera."""," IsInFrontOf(b,a)"," IsYoung(c),   WearsBlueTShirt(d),   WearsSweatpants(e),   StandsOnStove(f)","[(' IsYoung(c)', ' IsInFrontOf(b,a)')]","[(' camera', ' camera')]","[(' Man', ' Young man')]","IsInFrontOf(b,a)",IsYoung(c) and WearsBlueTShirt(d) and WearsSweatpants(e) and StandsOnStove(f),"(exists b (IsInFrontOf(b,a)) & (forall b (forall a (forall c ( IsYoung(c) ->  IsInFrontOf(b,a)))))) -> (forall c (IsYoung(c) and WearsBlueTShirt(d) and WearsSweatpants(e) and StandsOnStove(f)))","(exists b (exists a (IsInFrontOf(b,a))) & (forall h (forall g (forall i ( IsYoung(g) ->  IsInFrontOf(h,i)))))) -> (exists d (exists e (exists f (exists c (IsYoung(c) and WearsBlueTShirt(d) and WearsSweatpants(e) and StandsOnStove(f))))))"
,1,"This church choir sings to the masses as they sing joyous songs from the book at a church. Therefore, the church is filled with song."," ""The church choir sings to the masses."""," ""The church is filled with song."""," IsSingsTo(a,b)"," IsFilledWith(c,d)","[(' IsSingsTo(a,b)', ' IsFilledWith(c,d)')]",[],"[(' The church choir', ' Church'), (' song', ' The church choir'), (' masses', ' Church')]","IsSingsTo(a,b)","IsFilledWith(c,d)","(exists b (forall a (exists a (IsSingsTo(a,b)))) & (forall b (forall a (forall c (forall d ( IsSingsTo(a,b) ->  IsFilledWith(c,d))))))) -> (exists d (forall c (IsFilledWith(c,d))))","(exists b (exists a (IsSingsTo(a,b))) & (forall g (forall e (forall f (forall h ( IsSingsTo(e,f) ->  IsFilledWith(g,h))))))) -> (exists d (exists c (IsFilledWith(c,d))))"
,1,"A man and a woman are standing at the side of an inflatable climbing structure. As a consequence, a man and a woman are standing."," ""A man and a woman are standing."""," ""A consequence occurred."""," IsStanding(a),  IsStanding(b)", IsOccurred(d),[],[],[],IsStanding(a) and IsStanding(b),IsOccurred(d),(IsStanding(a) and IsStanding(b)) -> (IsOccurred(d)),(exists b (exists a (IsStanding(a) and IsStanding(b)))) -> (exists d (IsOccurred(d)))
,1,An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand. This implies that the teenager is seated.," ""An asian teenager wearing a white shirt with black stripes is seated."""," ""The teenager is seated."""," IsAsian(a),   IsWearingWhiteShirt(b),   IsHavingBlackStripes(c),   IsSeated(d)", IsSeated(e),"[(' IsAsian(a)', ' IsSeated(e)')]",[],"[(' teenager', ' Asian teenager')]",IsAsian(a) and (IsWearingWhiteShirt(b) and IsHavingBlackStripes(c)) and IsSeated(d),IsSeated(e),(forall a (IsAsian(a) and (IsWearingWhiteShirt(b) and IsHavingBlackStripes(c)) and IsSeated(d)) & (forall e (forall a ( IsAsian(a) ->  IsSeated(e))))) -> (exists e (IsSeated(e))),(exists b (exists a (exists c (exists d (IsAsian(a) and (IsWearingWhiteShirt(b) and IsHavingBlackStripes(c)) and IsSeated(d))))) & (forall g (forall f ( IsAsian(f) ->  IsSeated(g))))) -> (exists e (IsSeated(e)))
,1,"Boy in red and black shirt walks through grass. Therefore, the boy is walking.",,,,,[],[],[],,,() -> (),() -> ()
,1,"These girls are having a great time looking for seashells. As a consequence, the girls are happy.",,,,,[],[],[],,,() -> (),() -> ()
,1,"Small girl in a pink dress is playing electronic drum pads with sticks. Consequently, a girl is playing electronic drums."," ""A small girl is playing electronic drum pads."""," ""A girl is playing electronic drums."""," IsSmall(a),  IsPlaying(a)", IsPlaying(c),"[(' IsSmall(a)', ' IsPlaying(c)')]",[],"[(' Small girl', ' Girl'), (' electronic drum pads.', ' electronic drums')]",IsSmall(a) and IsPlaying(a),IsPlaying(c) and IsElectronic(d),(exists a (IsSmall(a) and IsPlaying(a)) & (forall a (forall c ( IsSmall(a) ->  IsPlaying(c))))) -> (forall c (IsPlaying(c) and IsElectronic(d))),(exists a (IsSmall(a) and IsPlaying(a)) & (forall e (forall f ( IsSmall(e) ->  IsPlaying(f))))) -> (exists d (exists c (IsPlaying(c) and IsElectronic(d))))
,1,"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background. As a consequence, a person with a tattoo."," ""A blond woman has a tattoo of an angel on her arm."""," ""A person with a tattoo walks down the street."""," IsBlond(a),  HasTattooOfAnAngel(b)"," IsTattooed(e),  WalksDownTheStreet(d,f)","[('  HasTattooOfAnAngel(b)', ' IsTattooed(e)')]",[],"[(' Blond woman', ' A person'), (' tattoo of an angel', ' tattoo'), (' her arm.', ' A person'), (' her arm.', ' tattoo')]",IsBlond(a) and HasTattooOfAnAngel(b) On her arm(c),"IsTattooed(e) and WalksDownTheStreet(d,f)","(exists c (exists b (exists a (IsBlond(a) and HasTattooOfAnAngel(b) On her arm(c)))) & (forall b (forall e (  HasTattooOfAnAngel(b) ->  IsTattooed(e))))) -> (forall e (forall d (IsTattooed(e) and WalksDownTheStreet(d,f))))","(exists b (exists a (exists c (IsBlond(a) and HasTattooOfAnAngel(b) On her arm(c)))) & (forall h (forall g (  HasTattooOfAnAngel(g) ->  IsTattooed(h))))) -> (exists d (exists e (exists f (IsTattooed(e) and WalksDownTheStreet(d,f)))))"
,1,"A tan dog chases a black and white soccer ball. Therefore, a dog is chasing a ball.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A dusty boy runs along a dirt path through the grass. As a consequence, a boy is outside running.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A guy with a football, a crowd watching him. Consequently, there is a guy holding a football."," ""There is a guy holding a football."""," ""A guy with a football is watching him.""", IsHolding(b), IsWatching(d),[],"[(' football', ' football')]","[(' guy', ' A guy'), (' him.', ' guy')]",IsHolding(a),"IsWatching(d) and IsWith(a,c)","(IsHolding(a)) -> (IsWatching(d) and IsWith(a,c))","(exists a (IsHolding(a))) -> (exists d (exists a (exists c (IsWatching(d) and IsWith(a,c)))))"
,1,Two women are tending to their herd of animals including cows and goats near a building made primarily of stone. It follows that the two women are taking care of a herd of animals.," ""Two women are taking care of a herd of animals."""," ""The two women are near a building made primarily of stone."""," IsTakingCareOf(a,b)"," IsNear(a,c),  IsMadePrimarilyOf(d)",[],"[(' Two women', ' Two women')]",[],"IsTakingCareOf(a,b)","IsNear(a,c) and IsMadePrimarilyOf(d)","(IsTakingCareOf(a,b)) -> (IsNear(a,c) and IsMadePrimarilyOf(d))","(exists b (exists a (IsTakingCareOf(a,b)))) -> (exists d (exists a (exists c (IsNear(a,c) and IsMadePrimarilyOf(d)))))"
,1,"A boy and girl play together on a pile or rocks in a residential area. Thus, the boy and girl are outside."," ""A boy and girl play together on a pile of rocks."""," ""The boy and girl are outside."""," IsPlayingTogether(b,a),  IsOnPileOfRocks(c)"," IsOutside(a),  IsBoy(d)","[(' IsPlayingTogether(b,a)', ' IsOutside(a)'), (' IsOutside(a)', ' IsPlayingTogether(b,a)'), ('  IsOnPileOfRocks(c)', ' IsOutside(a)')]","[(' girl', ' girl')]","[(' Boy', ' A boy'), (' outside.', ' girl')]","IsPlayingTogether(b,a) and IsOnPileOfRocks(c)",IsOutside(a) and IsBoy(d),"(forall b (IsPlayingTogether(b,a) and IsOnPileOfRocks(c)) & (forall b (forall a ( IsPlayingTogether(b,a) ->  IsOutside(a)))) & (forall b (forall a ( IsOutside(a) ->  IsPlayingTogether(b,a)))) & (forall a (forall c (  IsOnPileOfRocks(c) ->  IsOutside(a))))) -> (exists d (IsOutside(a) and IsBoy(d)))","(exists b (exists a (exists c (IsPlayingTogether(b,a) and IsOnPileOfRocks(c)))) & (forall g (forall f ( IsPlayingTogether(f,g) ->  IsOutside(g)))) & (forall h (forall i ( IsOutside(h) ->  IsPlayingTogether(i,h)))) & (forall k (forall j (  IsOnPileOfRocks(j) ->  IsOutside(k))))) -> (exists d (exists a (IsOutside(a) and IsBoy(d))))"
,1,"A boy stands in the middle of a crowd of teenagers. Thus, a person stands in the middle of a crowd of teenagers.",,,,,[],[],[],,,() -> (),() -> ()
,1,"Two men are standing in a boat. Thus, some people are in a boat."," ""Two men are in a boat."""," ""Some people are in a boat.""", IsInBoat(b), IsInBoat(c),[],"[(' boat', ' boat')]","[(' Some people', ' boat')]",IsInBoat(b),IsInBoat(a),(IsInBoat(b)) -> (IsInBoat(a)),(exists b (IsInBoat(b))) -> (exists a (IsInBoat(a)))
,1,An Asian woman dressed in a colorful outfit laughing. It follows that a woman is wearing colorful clothing.," ""A woman is wearing colorful clothing."""," ""An Asian woman is wearing colorful clothing."""," IsWearing(b),  IsColorful(a)"," IsAsian(c),  IsWearing(a),  IsColorful(a)","[(' IsAsian(c)', ' IsWearing(b)'), (' IsWearing(b)', '  IsColorful(a)'), ('  IsColorful(a)', ' IsWearing(b)')]","[(' colorful clothing', ' colorful clothing')]","[(' Woman', ' Asian woman'), (' colorful clothing', ' Woman'), (' colorful clothing', ' Asian woman')]",IsWearing(b) and IsColorful(a),IsAsian(c) and IsWearing(a) and IsColorful(a),(exists a (forall b (exists b (IsWearing(b) and IsColorful(a)))) & (forall b (forall c ( IsAsian(c) ->  IsWearing(b)))) & (forall b (forall a ( IsWearing(b) ->   IsColorful(a)))) & (forall b (forall a (  IsColorful(a) ->  IsWearing(b))))) -> (exists a (forall c (IsAsian(c) and IsWearing(a) and IsColorful(a)))),(exists b (exists a (IsWearing(b) and IsColorful(a))) & (forall d (forall e ( IsAsian(d) ->  IsWearing(e)))) & (forall g (forall f ( IsWearing(f) ->   IsColorful(g)))) & (forall h (forall i (  IsColorful(h) ->  IsWearing(i))))) -> (exists a (exists c (IsAsian(c) and IsWearing(a) and IsColorful(a))))
,1,"A woman in black reviews a message as she walks to work. Hence, the woman in black has a job."," ""A woman in black has a job."""," ""The woman in black reviews messages as she walks to work."""," IsInBlack(a),  HasJob(b)"," IsReviews(a),  IsWalks(d)",[],"[(' Woman in black', ' Woman in black')]","[(' job', ' work')]",IsInBlack(a) and HasJob(b),IsReviews(a) and IsWalks(d),(exists b (IsInBlack(a) and HasJob(b))) -> (forall d (IsReviews(a) and IsWalks(d))),(exists b (exists a (IsInBlack(a) and HasJob(b)))) -> (exists d (exists a (IsReviews(a) and IsWalks(d))))
,1,"A shirtless man rock climbs. As a consequence, a man is outside.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A man wearing a kilt has thrown a large pole. Therefore, a man is wearing a skirt.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A man in a blue t-shirt is taking a picture while a woman with an umbrella walks behind him. Consequently, a man is taking a picture outdoors while a woman walks behind him."," ""A man is taking a picture while a woman walks behind him."""," ""A man is taking a picture outdoors while a woman walks behind him."""," IsTakingAPicture(a),  IsBehind(b)"," IsTakingAPicture(a),  IsOutdoors(c),  IsBehind(b)","[('  IsOutdoors(c)', ' IsTakingAPicture(a)'), (' IsTakingAPicture(a)', '  IsBehind(b)'), ('  IsBehind(b)', ' IsTakingAPicture(a)'), ('  IsBehind(b)', ' IsTakingAPicture(a)'), (' IsTakingAPicture(a)', '  IsBehind(b)'), ('  IsOutdoors(c)', '  IsBehind(b)')]","[(' A man', ' A man'), (' woman', ' woman'), (' picture', ' picture')]","[(' picture', ' A man'), (' picture', ' woman'), (' picture', ' A man'), (' picture', ' woman'), (' picture', ' outdoors'), (' behind him.', ' A man'), (' picture', ' behind him.'), (' outdoors', ' behind him.')]",IsTakingAPicture(a) and IsBehind(b),IsTakingAPicture(a) and IsBehind(b) and IsOutdoors(c),(forall b (forall a (IsTakingAPicture(a) and IsBehind(b))) & (forall a (forall c (  IsOutdoors(c) ->  IsTakingAPicture(a)))) & (forall b (forall a ( IsTakingAPicture(a) ->   IsBehind(b)))) & (forall b (forall a (  IsBehind(b) ->  IsTakingAPicture(a)))) & (forall b (forall a (  IsBehind(b) ->  IsTakingAPicture(a)))) & (forall b (forall a ( IsTakingAPicture(a) ->   IsBehind(b)))) & (forall b (forall c (  IsOutdoors(c) ->   IsBehind(b))))) -> (exists c (IsTakingAPicture(a) and IsBehind(b) and IsOutdoors(c))),(exists b (exists a (IsTakingAPicture(a) and IsBehind(b))) & (forall g (forall f (  IsOutdoors(f) ->  IsTakingAPicture(g)))) & (forall h (forall i ( IsTakingAPicture(h) ->   IsBehind(i)))) & (forall k (forall j (  IsBehind(j) ->  IsTakingAPicture(k)))) & (forall m (forall l (  IsBehind(l) ->  IsTakingAPicture(m)))) & (forall n (forall o ( IsTakingAPicture(n) ->   IsBehind(o)))) & (forall p (forall q (  IsOutdoors(p) ->   IsBehind(q))))) -> (exists b (exists a (exists c (IsTakingAPicture(a) and IsBehind(b) and IsOutdoors(c)))))
,1,"A child and a parent or older sibling going for a hike. Consequently, two people are going for a hike."," ""A child and a parent or older sibling are going for a hike."""," ""Two people are going for a hike."""," IsGoingForHike(a),  IsParent(b),  IsOlderSibling(c)", IsGoingForHike(e),"[('  IsParent(b)', ' IsGoingForHike(e)'), ('  IsOlderSibling(c)', ' IsGoingForHike(e)')]",[],"[(' parent', ' Two people'), (' older sibling', ' Two people')]",(IsParent(b) or IsOlderSibling(c)) and IsGoingForHike(a),IsGoingForHike(e),(exists c (exists b ((IsParent(b) or IsOlderSibling(c)) and IsGoingForHike(a))) & (forall b (forall e (  IsParent(b) ->  IsGoingForHike(e)))) & (forall e (forall c (  IsOlderSibling(c) ->  IsGoingForHike(e))))) -> (forall e (IsGoingForHike(e))),(exists b (exists a (exists c ((IsParent(b) or IsOlderSibling(c)) and IsGoingForHike(a)))) & (forall g (forall f (  IsParent(f) ->  IsGoingForHike(g)))) & (forall h (forall i (  IsOlderSibling(h) ->  IsGoingForHike(i))))) -> (exists e (IsGoingForHike(e)))
,1,"Two kids in black trunks bouncing on a wet trampoline. Consequently, children play on trampolines outdoors.",,,,,[],[],[],,,() -> (),() -> ()
,1,"2 people with backpacks are at a table with a woman with a beige blazer sitting behind it. Thus, 2 people are at a table."," ""2 people are at a table."""," ""The woman with a beige blazer is sitting behind the table.""", IsAtTable(b), IsSittingBehindTable(a),[],"[(' table', ' table')]","[(' beige blazer', ' 2 people'), (' 2 people', ' table')]",IsAtTable(a),IsSittingBehindTable(a) and IsWoman(c) and IsBeigeBlazer(d),(IsAtTable(a)) -> (IsSittingBehindTable(a) and IsWoman(c) and IsBeigeBlazer(d)),(exists a (IsAtTable(a))) -> (exists d (exists a (exists c (IsSittingBehindTable(a) and IsWoman(c) and IsBeigeBlazer(d)))))
,1,"A group stands and watches two men, apparently dressed in some sort of costume, wrestle on the ground. It follows that there are people wrestling."," ""There are people wrestling."""," ""A group stands and watches two men wrestling.""", IsWrestling(a)," IsInGroup(c),  IsWatching(d)",[],"[(' wrestling', ' wrestling')]","[(' People', ' A group')]",IsWrestling(b),IsInGroup(c) and IsWatching(d) and IsWrestling(a),(exists b (IsWrestling(b))) -> (forall c (IsInGroup(c) and IsWatching(d) and IsWrestling(a))),(exists b (IsWrestling(b))) -> (exists d (exists a (exists c (IsInGroup(c) and IsWatching(d) and IsWrestling(a)))))
,1,"two girls looking out the window at ""Hair at Hart."" Hence, two people look out a window."," ""Two people look out the window."""," ""Hair at Hart is being looked at."""," IsLookedOut(a),  IsAtWindow(b)"," IsAtHart(c),  IsBeingLookedAt(d)",[],[],[],IsLookedOut(a) and IsAtWindow(b),IsAtHart(c) and IsBeingLookedAt(d),(IsLookedOut(a) and IsAtWindow(b)) -> (IsAtHart(c) and IsBeingLookedAt(d)),(exists b (exists a (IsLookedOut(a) and IsAtWindow(b)))) -> (exists d (exists c (IsAtHart(c) and IsBeingLookedAt(d))))
,1,"A man visiting a friend in the hospital. Therefore, a man in a hospital receives a visiting friend.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A schoolgirl is jumping over a low hurdle. Consequently, a girl is jumping over a hurdle.",,,,,[],[],[],,,() -> (),() -> ()
,1,"Young Asian girl is sitting on the ground in rubble. Hence, the young Asian girl is outside in the rubble."," ""The young Asian girl is outside in the rubble."""," ""The young Asian girl is sitting on the ground in rubble."""," IsOutside(a),  IsInRubble(b)"," IsSittingOnGround(a),  IsInRubble(b)",[],"[(' Young Asian girl', ' Young Asian girl'), (' rubble.', ' rubble.')]","[(' Young Asian girl', ' ground'), (' Young Asian girl', ' outside'), (' rubble.', ' outside'), (' rubble.', ' ground')]",IsOutside(a) and IsInRubble(b),IsSittingOnGround(a) and IsInRubble(b),(IsOutside(a) and IsInRubble(b)) -> (IsSittingOnGround(a) and IsInRubble(b)),(exists b (exists a (IsOutside(a) and IsInRubble(b)))) -> (exists b (exists a (IsSittingOnGround(a) and IsInRubble(b))))
,1,"A group of women sing together while wearing matching black dresses. Thus, there are women singing."," ""There are women singing."""," ""All women sing together while wearing matching black dresses.""", IsSinging(b)," IsSingingTogether(c),  IsWearingMatchingBlackDresses(d)","[(' IsSinging(b)', ' IsSingingTogether(c)'), (' IsSingingTogether(c)', ' IsSinging(b)')]",[],"[(' black dresses', ' Women')]",IsSinging(a),IsSingingTogether(c) and IsWearingMatchingBlackDresses(d),(forall a (IsSinging(a)) & (forall b (forall c ( IsSinging(b) ->  IsSingingTogether(c)))) & (forall b (forall c ( IsSingingTogether(c) ->  IsSinging(b))))) -> (exists d (IsSingingTogether(c) and IsWearingMatchingBlackDresses(d))),(exists a (IsSinging(a)) & (forall e (forall f ( IsSinging(e) ->  IsSingingTogether(f)))) & (forall h (forall g ( IsSingingTogether(g) ->  IsSinging(h))))) -> (exists d (exists c (IsSingingTogether(c) and IsWearingMatchingBlackDresses(d))))
,1,Two boys in running clothes stretching. This implies that the boys are stretching.,,,,,[],[],[],,,() -> (),() -> ()
,1,A group of young men in a gym take turns scoring in basketball. This implies that guys are indoors.,,,,,[],[],[],,,() -> (),() -> ()
,1,"An Eastern vendor sits by his stall with a rooster nearby. Consequently, a rooster near a vendor."," ""A rooster is near an Eastern vendor."""," ""An Eastern vendor has a rooster nearby."""," IsNear(b,a)"," IsHas(a,c),  IsNearby(d)","[(' IsHas(a,c)', ' IsNear(b,a)')]","[(' Eastern vendor', ' Eastern vendor')]","[(' rooster', ' A rooster'), (' Eastern vendor', ' nearby.')]","IsNear(b,a)","IsHas(a,c) and IsNearby(d)","(exists a (forall b (IsNear(b,a))) & (forall b (forall a (forall c ( IsHas(a,c) ->  IsNear(b,a)))))) -> (forall d (exists c (IsHas(a,c) and IsNearby(d))))","(exists b (exists a (IsNear(b,a))) & (forall g (forall e (forall f ( IsHas(e,f) ->  IsNear(g,e)))))) -> (exists d (exists a (exists c (IsHas(a,c) and IsNearby(d)))))"
,1,"A bird is perched on a tree branch. Thus, a bird is perching in a tree.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A man in an overcoat putting on his gloves at a subway station. Therefore, a person is in the subway station.",,,,,[],[],[],,,() -> (),() -> ()
,1,"Person with umbrella observes flooded streets with cars in the water. Consequently, a person is outside.",,,,,[],[],[],,,() -> (),() -> ()
,1,A group of people are camping out on some rocks. This implies that people are outdoors.," ""A group of people are camping out on some rocks."""," ""People are outdoors.""", IsCampingOut(b), IsOutdoors(d),"[(' IsCampingOut(b)', ' IsOutdoors(d)'), (' IsOutdoors(d)', ' IsCampingOut(b)')]",[],"[(' Some rocks', ' outdoors'), (' People', ' group of people'), (' outdoors', ' group of people')]",IsCampingOut(a),IsOutdoors(c),(IsCampingOut(a) & (forall b (forall d ( IsCampingOut(b) ->  IsOutdoors(d)))) & (forall d (forall b ( IsOutdoors(d) ->  IsCampingOut(b))))) -> (IsOutdoors(c)),(exists a (IsCampingOut(a)) & (forall e (forall f ( IsCampingOut(e) ->  IsOutdoors(f)))) & (forall h (forall g ( IsOutdoors(g) ->  IsCampingOut(h))))) -> (exists c (IsOutdoors(c)))
,1,A choir made up of varying ages of people are performing. This implies that the choir is singing.,,,,,[],[],[],,,() -> (),() -> ()
,1,A man scales a rock climbing wall. It follows that a man rock climbing.,,,,,[],[],[],,,() -> (),() -> ()
,1,"A little white dog runs outside, their ears blown back in the wind. It follows that there is an animal outside.",,,,,[],[],[],,,() -> (),() -> ()
,1,"A bearded man sits near a white van. As a consequence, a man sitting outside near a van.",,,,,[],[],[],,,() -> (),() -> ()
,1,"Two children wearing hooded tops laughing with each other. Thus, children laugh."," ""Two children are laughing."""," ""Children laugh.""", IsLaughing(a), IsLaughing(b),[],[],"[(' Two children', ' Children')]",IsLaughing(a) and IsLaughing(b),IsLaughing(b),(exists a (IsLaughing(a) and IsLaughing(b))) -> (forall b (IsLaughing(b))),(exists b (exists a (IsLaughing(a) and IsLaughing(b)))) -> (exists b (IsLaughing(b)))
,1,"A man in glasses in a basement. Thus, the basement has a man in it."," ""There is a man in the basement."""," ""The basement has a man.""", IsInBasement(a), IsInBasement(a),[],"[(' man', ' man')]",[],IsInBasement(b),IsInBasement(a),(IsInBasement(b)) -> (IsInBasement(a)),(exists b (IsInBasement(b))) -> (exists a (IsInBasement(a)))
