logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
,1,"Young Asian girl is sitting on the ground in rubble. Hence, the young Asian girl is outside in the rubble."," ""The young Asian girl is sitting on the ground in rubble.""  "," ""The young Asian girl is outside in the rubble.""","IsYoung(a),  IsAsian(a),  IsSittingOn(c, a),  IsInRubble(a, b)","IsYoung(a),  IsAsian(a),  IsOutside(a),  IsInRubble(a, b)","[('IsYoung(a)', '  IsOutside(a)'), ('  IsAsian(a)', '  IsOutside(a)'), ('  IsInRubble(a, b)', '  IsOutside(a)')]","[(' The young Asian girl', ' The young Asian girl'), (' rubble', ' the rubble')]",[],"IsYoung(a) and IsAsian(a) and IsSittingOn(c, a) and IsInRubble(a, b)","IsYoung(a) and IsAsian(a) and IsOutside(a) and IsInRubble(a, b)","(IsYoung(a) and IsAsian(a) and IsSittingOn(c, a) and IsInRubble(a, b) & (forall a (IsYoung(a) ->   IsOutside(a))) & (forall a (  IsAsian(a) ->   IsOutside(a))) & (forall b (forall a (  IsInRubble(a, b) ->   IsOutside(a))))) -> (IsYoung(a) and IsAsian(a) and IsOutside(a) and IsInRubble(a, b))","(exists c (exists b (exists a (IsYoung(a) and IsAsian(a) and IsSittingOn(c, a) and IsInRubble(a, b)))) & (forall e (IsYoung(e) ->   IsOutside(e))) & (forall f (  IsAsian(f) ->   IsOutside(f))) & (forall h (forall g (  IsInRubble(g,h) ->   IsOutside(g))))) -> (exists b (exists a (IsYoung(a) and IsAsian(a) and IsOutside(a) and IsInRubble(a, b))))"
,1,"A group of women sing together while wearing matching black dresses. Thus, there are women singing."," ""A group of women sings together while wearing matching black dresses.""  "," ""There are women singing.""","SingsTogether(a),  IsWearing(b, a)",Sings(c),"[('SingsTogether(a)', 'Sings(c)'), ('Sings(c)', 'SingsTogether(a)')]",[],"[(' A group of women', ' women'), (' matching black dresses', ' women')]","SingsTogether(a) and IsWearing(b, a)",Sings(c),"(exists b (exists a (SingsTogether(a) and IsWearing(b, a))) & (forall c (forall a (SingsTogether(a) -> Sings(c)))) & (forall c (forall a (Sings(c) -> SingsTogether(a))))) -> (forall c (Sings(c)))","(exists b (exists a (SingsTogether(a) and IsWearing(b, a))) & (forall e (forall d (SingsTogether(d) -> Sings(e)))) & (forall f (forall g (Sings(f) -> SingsTogether(g))))) -> (exists c (Sings(c)))"
,1,Two boys in running clothes stretching. This implies that the boys are stretching.," ""Two boys are in running clothes stretching.""  "," ""The boys are stretching.""","IsInRunningClothes(a),  IsStretching(a)",IsStretching(a),[],"[(' Two boys', ' The boys')]",[],IsInRunningClothes(a) and IsStretching(a),IsStretching(a),(IsInRunningClothes(a) and IsStretching(a)) -> (IsStretching(a)),(exists a (IsInRunningClothes(a) and IsStretching(a))) -> (exists a (IsStretching(a)))
,1,A group of young men in a gym take turns scoring in basketball. This implies that guys are indoors.," ""A group of young men take turns scoring in basketball in a gym.""  "," ""Young men are indoors.""","IsYoungMenGroup(a),  TakesTurnsScoring(a,b),  IsInGym(a,c)","IsYoungMen(d),  IsIndoors(d)","[('IsYoungMenGroup(a)', 'IsYoungMen(d)'), ('IsYoungMen(d)', 'IsYoungMenGroup(a)'), ('  IsInGym(a,c)', '  IsIndoors(d)'), ('  IsIndoors(d)', '  IsInGym(a,c)')]",[],"[(' A group of young men', ' Young men')]","IsYoungMenGroup(a) and TakesTurnsScoring(a,b) and IsInGym(a,c)",IsYoungMen(d) and IsIndoors(d),"(exists a (IsYoungMenGroup(a) and TakesTurnsScoring(a,b) and IsInGym(a,c)) & (forall d (forall a (IsYoungMenGroup(a) -> IsYoungMen(d)))) & (forall d (forall a (IsYoungMen(d) -> IsYoungMenGroup(a)))) & (forall c (forall d (forall a (  IsInGym(a,c) ->   IsIndoors(d))))) & (forall c (forall d (forall a (  IsIndoors(d) ->   IsInGym(a,c)))))) -> (forall d (IsYoungMen(d) and IsIndoors(d)))","(exists c (exists b (exists a (IsYoungMenGroup(a) and TakesTurnsScoring(a,b) and IsInGym(a,c)))) & (forall e (forall f (IsYoungMenGroup(e) -> IsYoungMen(f)))) & (forall h (forall g (IsYoungMen(g) -> IsYoungMenGroup(h)))) & (forall j (forall k (forall i (  IsInGym(i,j) ->   IsIndoors(k))))) & (forall m (forall l (forall n (  IsIndoors(l) ->   IsInGym(m,n)))))) -> (exists d (IsYoungMen(d) and IsIndoors(d)))"
,1,"An Eastern vendor sits by his stall with a rooster nearby. Consequently, a rooster near a vendor."," ""An Eastern vendor sits by his stall with a rooster nearby.""  "," ""A rooster is near a vendor.""","IsEastern(b),  SitsBy(b,c),  IsNearby(a,c)","IsRooster(a),  IsNear(a,d)",[],"[(' a rooster', ' A rooster')]","[(' An Eastern vendor', ' a vendor')]","IsEastern(b) and SitsBy(b,c) and IsNearby(a,c)","IsRooster(a) and IsNear(a,d)","(exists b (IsEastern(b) and SitsBy(b,c) and IsNearby(a,c))) -> (forall d (IsRooster(a) and IsNear(a,d)))","(exists c (exists b (exists a (IsEastern(b) and SitsBy(b,c) and IsNearby(a,c))))) -> (exists d (exists a (IsRooster(a) and IsNear(a,d))))"
,1,"A bird is perched on a tree branch. Thus, a bird is perching in a tree."," ""A bird is perched on a tree branch.""  "," ""A bird is perching in a tree.""","IsPerchedOn(a, b)","IsPerching(a, c)",[],"[(' A bird', ' A bird')]","[(' a tree branch', ' a tree')]","IsPerchedOn(a, b)","IsPerching(a, c)","(exists b (IsPerchedOn(a, b))) -> (forall c (IsPerching(a, c)))","(exists b (exists a (IsPerchedOn(a, b)))) -> (exists c (exists a (IsPerching(a, c))))"
,1,"A man in an overcoat putting on his gloves at a subway station. Therefore, a person is in the subway station."," ""A man in an overcoat is putting on his gloves at a subway station.""  "," ""A person is in the subway station.""","IsInOvercoat(b),  IsPuttingOn(b, d),  IsAt(b, a)","IsAt(e, a)",[],"[(' a subway station', ' the subway station')]","[(' A man', ' A person')]","IsInOvercoat(b) and IsPuttingOn(b, d) and IsAt(b, a)","IsAt(e, a)","(exists b (IsInOvercoat(b) and IsPuttingOn(b, d) and IsAt(b, a))) -> (forall e (IsAt(e, a)))","(exists d (exists b (exists a (IsInOvercoat(b) and IsPuttingOn(b, d) and IsAt(b, a))))) -> (exists e (exists a (IsAt(e, a))))"
,1,"Person with umbrella observes flooded streets with cars in the water. Consequently, a person is outside."," ""A person with an umbrella observes flooded streets with cars in the water.""  "," ""A person is outside.""","HasUmbrella(a),  Observes(a, b),  IsInWater(c, d),  IsFlooded(b)",IsOutside(e),"[('  Observes(a, b)', 'IsOutside(e)')]",[],"[(' A person with an umbrella', ' A person')]","HasUmbrella(a) and Observes(a, b) and IsInWater(c, d) and IsFlooded(b)",IsOutside(e),"(exists a (HasUmbrella(a) and Observes(a, b) and IsInWater(c, d) and IsFlooded(b)) & (forall e (forall b (forall a (  Observes(a, b) -> IsOutside(e)))))) -> (forall e (IsOutside(e)))","(exists c (exists d (exists b (exists a (HasUmbrella(a) and Observes(a, b) and IsInWater(c, d) and IsFlooded(b))))) & (forall h (forall f (forall g (  Observes(f,g) -> IsOutside(h)))))) -> (exists e (IsOutside(e)))"
,1,A group of people are camping out on some rocks. This implies that people are outdoors.," ""A group of people are camping out on some rocks.""  "," ""People are outdoors.""","IsCampingOut(a, b)",IsOutdoors(c),"[('IsCampingOut(a, b)', 'IsOutdoors(c)')]",[],"[(' A group of people', ' People')]","IsCampingOut(a, b)",IsOutdoors(c),"(exists a (IsCampingOut(a, b)) & (forall c (forall b (forall a (IsCampingOut(a, b) -> IsOutdoors(c)))))) -> (forall c (IsOutdoors(c)))","(exists b (exists a (IsCampingOut(a, b))) & (forall e (forall d (forall f (IsCampingOut(d,e) -> IsOutdoors(f)))))) -> (exists c (IsOutdoors(c)))"
,1,A choir made up of varying ages of people are performing. This implies that the choir is singing.," ""A choir made up of varying ages of people is performing.""  "," ""The choir is singing.""","IsMadeUpOf(a, b),  IsPerforming(a)",IsSinging(a),"[('  IsPerforming(a)', 'IsSinging(a)'), ('IsSinging(a)', '  IsPerforming(a)')]","[(' A choir', ' The choir')]","[(' people', ' The choir')]","IsMadeUpOf(a, b) and IsPerforming(a)",IsSinging(a),"(IsMadeUpOf(a, b) and IsPerforming(a) & (forall a (  IsPerforming(a) -> IsSinging(a))) & (forall a (IsSinging(a) ->   IsPerforming(a)))) -> (IsSinging(a))","(exists b (exists a (IsMadeUpOf(a, b) and IsPerforming(a))) & (forall e (  IsPerforming(e) -> IsSinging(e))) & (forall f (IsSinging(f) ->   IsPerforming(f)))) -> (exists a (IsSinging(a)))"
,1,A man scales a rock climbing wall. It follows that a man rock climbing.," ""A man scales a rock climbing wall.""  "," ""A man is rock climbing.""","IsMan(a),  Scales(a, b)","IsMan(a),  IsRockClimbing(a)",[],"[(' A man', ' A man')]",[],"IsMan(a) and Scales(a, b)",IsMan(a) and IsRockClimbing(a),"(IsMan(a) and Scales(a, b)) -> (IsMan(a) and IsRockClimbing(a))","(exists b (exists a (IsMan(a) and Scales(a, b)))) -> (exists a (IsMan(a) and IsRockClimbing(a)))"
,1,"A little white dog runs outside, their ears blown back in the wind. It follows that there is an animal outside."," ""A little white dog runs outside and its ears are blown back in the wind.""  "," ""There is an animal outside.""","IsLittleWhiteDog(a),  IsBlownBack(b, c),  IsOutside(a)","IsAnimal(d),  IsOutside(d)","[('IsLittleWhiteDog(a)', 'IsAnimal(d)'), ('IsLittleWhiteDog(a)', '  IsOutside(d)'), ('  IsOutside(a)', 'IsAnimal(d)')]",[],"[(' A little white dog', ' an animal'), (' its ears', ' an animal')]","IsLittleWhiteDog(a) and IsOutside(a) and IsBlownBack(b, c)",IsAnimal(d) and IsOutside(d),"(exists b (exists a (IsLittleWhiteDog(a) and IsOutside(a) and IsBlownBack(b, c))) & (forall d (forall a (IsLittleWhiteDog(a) -> IsAnimal(d)))) & (forall d (forall a (IsLittleWhiteDog(a) ->   IsOutside(d)))) & (forall d (forall a (  IsOutside(a) -> IsAnimal(d))))) -> (forall d (IsAnimal(d) and IsOutside(d)))","(exists c (exists b (exists a (IsLittleWhiteDog(a) and IsOutside(a) and IsBlownBack(b, c)))) & (forall e (forall f (IsLittleWhiteDog(e) -> IsAnimal(f)))) & (forall h (forall g (IsLittleWhiteDog(g) ->   IsOutside(h)))) & (forall j (forall i (  IsOutside(i) -> IsAnimal(j))))) -> (exists d (IsAnimal(d) and IsOutside(d)))"
,1,"A bearded man sits near a white van. As a consequence, a man sitting outside near a van."," ""A bearded man sits near a white van.""  "," ""A man is sitting outside near a van.""","IsBearded(a),  SitsNear(a,b),  IsWhiteVan(b)","IsSitting(c),  SitsOutside(c),  SitsNear(c,d)","[('IsBearded(a)', 'IsSitting(c)'), ('IsBearded(a)', '  SitsNear(c,d)'), ('IsSitting(c)', '  SitsNear(a,b)')]",[],"[(' A bearded man', ' A man'), (' a white van', ' a van')]","IsBearded(a) and IsWhiteVan(b) and SitsNear(a,b)","IsSitting(c) and SitsOutside(c) and SitsNear(c,d)","(exists b (exists a (IsBearded(a) and IsWhiteVan(b) and SitsNear(a,b))) & (forall c (forall a (IsBearded(a) -> IsSitting(c)))) & (forall c (forall d (forall a (IsBearded(a) ->   SitsNear(c,d))))) & (forall c (forall b (forall a (IsSitting(c) ->   SitsNear(a,b)))))) -> (forall d (forall c (IsSitting(c) and SitsOutside(c) and SitsNear(c,d))))","(exists b (exists a (IsBearded(a) and IsWhiteVan(b) and SitsNear(a,b))) & (forall e (forall f (IsBearded(e) -> IsSitting(f)))) & (forall h (forall i (forall g (IsBearded(g) ->   SitsNear(h,i))))) & (forall j (forall l (forall k (IsSitting(j) ->   SitsNear(k,l)))))) -> (exists c (exists d (IsSitting(c) and SitsOutside(c) and SitsNear(c,d))))"
,1,"Two children wearing hooded tops laughing with each other. Thus, children laugh."," ""Two children wearing hooded tops are laughing with each other.""  "," ""Children laugh.""","IsWearingHoodedTops(a),  IsLaughingWithEachOther(a)",IsLaughing(c),"[('IsWearingHoodedTops(a)', 'IsLaughing(c)'), ('  IsLaughingWithEachOther(a)', 'IsLaughing(c)'), ('IsLaughing(c)', '  IsLaughingWithEachOther(a)')]",[],"[(' Two children', ' Children')]",IsWearingHoodedTops(a) and IsLaughingWithEachOther(a),IsLaughing(c),(exists a (IsWearingHoodedTops(a) and IsLaughingWithEachOther(a)) & (forall c (forall a (IsWearingHoodedTops(a) -> IsLaughing(c)))) & (forall c (forall a (  IsLaughingWithEachOther(a) -> IsLaughing(c)))) & (forall c (forall a (IsLaughing(c) ->   IsLaughingWithEachOther(a))))) -> (forall c (IsLaughing(c))),(exists a (IsWearingHoodedTops(a) and IsLaughingWithEachOther(a)) & (forall e (forall d (IsWearingHoodedTops(d) -> IsLaughing(e)))) & (forall f (forall g (  IsLaughingWithEachOther(f) -> IsLaughing(g)))) & (forall h (forall i (IsLaughing(h) ->   IsLaughingWithEachOther(i))))) -> (exists c (IsLaughing(c)))
,1,"A man in glasses in a basement. Thus, the basement has a man in it."," ""A man in glasses is in a basement.""  "," ""The basement has a man in it.""  ","IsInGlasses(b),  IsInBasement(b)","IsInBasement(c),  HasMan(a)","[('  IsInBasement(b)', '  HasMan(a)'), ('  HasMan(a)', '  IsInBasement(b)')]","[(' a basement', ' The basement')]","[(' A man in glasses', ' a man')]",IsInGlasses(b) and IsInBasement(b),HasMan(a) and IsInBasement(c),(exists b (IsInGlasses(b) and IsInBasement(b)) & (forall b (forall a (  IsInBasement(b) ->   HasMan(a)))) & (forall b (forall a (  HasMan(a) ->   IsInBasement(b))))) -> (forall c (HasMan(a) and IsInBasement(c))),(exists b (IsInGlasses(b) and IsInBasement(b)) & (forall e (forall f (  IsInBasement(e) ->   HasMan(f)))) & (forall h (forall g (  HasMan(g) ->   IsInBasement(h))))) -> (exists c (exists a (HasMan(a) and IsInBasement(c))))
,1,A man in a white shirt speaks into a microphone as other men gather behind him at a public event. This implies that a man in a white shirt is making a speech in front of a crowd.," ""A man in a white shirt is making a speech.""  "," ""A man in a white shirt is making a speech in front of a crowd.""","IsInWhiteShirt(a),  IsMakingSpeech(a)","IsInWhiteShirt(a),  IsMakingSpeech(a),  IsInFrontOfCrowd(a, c)","[('  IsInFrontOfCrowd(a, c)', '  IsMakingSpeech(a)')]","[(' A man in a white shirt', ' A man in a white shirt'), (' a speech', ' a speech')]",[],IsInWhiteShirt(a) and IsMakingSpeech(a),"IsInWhiteShirt(a) and IsMakingSpeech(a) and IsInFrontOfCrowd(a, c)","(IsInWhiteShirt(a) and IsMakingSpeech(a) & (forall c (forall a (  IsInFrontOfCrowd(a, c) ->   IsMakingSpeech(a))))) -> (IsInWhiteShirt(a) and IsMakingSpeech(a) and IsInFrontOfCrowd(a, c))","(exists a (IsInWhiteShirt(a) and IsMakingSpeech(a)) & (forall e (forall d (  IsInFrontOfCrowd(d,e) ->   IsMakingSpeech(d))))) -> (exists c (exists a (IsInWhiteShirt(a) and IsMakingSpeech(a) and IsInFrontOfCrowd(a, c))))"
,1,A brown and white dog is chained up near a red chair. It follows that the dog is chained to a chair.," ""A brown and white dog is chained up near a red chair.""  "," ""The dog is chained to a chair.""","IsBrownAndWhite(a),  IsChainedUp(a),  IsNear(a,b)","IsChainedTo(a,c)","[('IsChainedTo(a,c)', '  IsChainedUp(a)')]","[(' A brown and white dog', ' The dog')]","[(' a red chair', ' a chair')]","IsBrownAndWhite(a) and IsChainedUp(a) and IsNear(a,b)","IsChainedTo(a,c)","(exists b (IsBrownAndWhite(a) and IsChainedUp(a) and IsNear(a,b)) & (forall c (forall a (IsChainedTo(a,c) ->   IsChainedUp(a))))) -> (forall c (IsChainedTo(a,c)))","(exists b (exists a (IsBrownAndWhite(a) and IsChainedUp(a) and IsNear(a,b))) & (forall e (forall f (IsChainedTo(e,f) ->   IsChainedUp(e))))) -> (exists c (exists a (IsChainedTo(a,c))))"
,1,"This is when daddy taught her how to ride her scooter. Consequently, daddy taught her."," ""Daddy taught her how to ride her scooter.""  "," ""Daddy taught her.""","Taught(a,  b),  KnowsHowToRide(b, c)","Taught(a, b)",[],"[(' Daddy', ' Daddy'), (' her', ' her')]",[],"Taught(a, b) and KnowsHowToRide(b, c)","Taught(a, b)","(Taught(a, b) and KnowsHowToRide(b, c)) -> (Taught(a, b))","(exists c (exists b (exists a (Taught(a, b) and KnowsHowToRide(b, c))))) -> (exists b (exists a (Taught(a, b))))"
,1,"A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background. Therefore, the girl is outside."," ""A small girl with short brown hair is pushing a pink scooter over grass with brown leaves.""  "," ""The girl is outside.""","IsSmall(a),  HasShortBrownHair(a),  IsPushing(a,c),  IsOver(c,d),  HasBrownLeaves(d,e)",IsOutside(a),"[('  IsPushing(a,c)', 'IsOutside(a)'), ('  IsOver(c,d)', 'IsOutside(a)')]","[(' A small girl', ' The girl')]",[],"IsSmall(a) and HasShortBrownHair(a) and IsPushing(a,c) and IsOver(c,d) and HasBrownLeaves(d,e)",IsOutside(a),"(IsSmall(a) and HasShortBrownHair(a) and IsPushing(a,c) and IsOver(c,d) and HasBrownLeaves(d,e) & (forall c (forall a (  IsPushing(a,c) -> IsOutside(a)))) & (forall c (forall d (forall a (  IsOver(c,d) -> IsOutside(a)))))) -> (IsOutside(a))","(exists c (exists e (exists d (exists a (IsSmall(a) and HasShortBrownHair(a) and IsPushing(a,c) and IsOver(c,d) and HasBrownLeaves(d,e))))) & (forall h (forall g (  IsPushing(g,h) -> IsOutside(g)))) & (forall j (forall k (forall i (  IsOver(i,j) -> IsOutside(k)))))) -> (exists a (IsOutside(a)))"
,1,"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set. Hence, a man in a black hat is swinging with some children."," ""A man wearing a black cap is suspended in the air on a swing.""  "," ""A man in a black hat is swinging with some children.""","IsWearingBlackCap(a),  IsSuspendedInAir(a),  IsOnSwing(a)","IsInBlackHat(e),  IsSwingingWith(e, f)","[('IsWearingBlackCap(a)', 'IsInBlackHat(e)')]",[],[],IsWearingBlackCap(a) and IsSuspendedInAir(a) and IsOnSwing(a),"IsInBlackHat(e) and IsSwingingWith(e, f)","(IsWearingBlackCap(a) and IsSuspendedInAir(a) and IsOnSwing(a) & (forall e (forall a (IsWearingBlackCap(a) -> IsInBlackHat(e))))) -> (IsInBlackHat(e) and IsSwingingWith(e, f))","(exists a (IsWearingBlackCap(a) and IsSuspendedInAir(a) and IsOnSwing(a)) & (forall h (forall g (IsWearingBlackCap(g) -> IsInBlackHat(h))))) -> (exists e (exists f (IsInBlackHat(e) and IsSwingingWith(e, f))))"
,1,"A man with a blue, collared shirt sits in front of another man. This implies that a man sits in front of another man."," ""A man with a blue, collared shirt sits in front of another man.""  "," ""A man sits in front of another man.""","IsInBlueShirt(b),  IsCollaredShirt(c),  IsSittingInFrontOf(b, a)","IsSittingInFrontOf(a, a)",[],"[(' another man', ' A man'), (' another man', ' another man')]","[(' A man with a blue', ' A man')]","IsInBlueShirt(b) and IsCollaredShirt(c) and IsSittingInFrontOf(b, a)","IsSittingInFrontOf(a, a)","(exists b (IsInBlueShirt(b) and IsCollaredShirt(c) and IsSittingInFrontOf(b, a))) -> (forall a (IsSittingInFrontOf(a, a)))","(exists c (exists b (exists a (IsInBlueShirt(b) and IsCollaredShirt(c) and IsSittingInFrontOf(b, a))))) -> (exists a (IsSittingInFrontOf(a, a)))"
,1,"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp. Therefore, a person rides a skateboard."," ""A young man in an orange shirt maneuvers a skateboard at the top of a ramp.""  "," ""A person rides a skateboard.""","IsYoung(b),  IsInOrangeShirt(b),  Maneuvers(a),  IsAtTop(d)","Rides(a, e)","[('IsYoung(b)', 'Rides(a, e)'), ('  Maneuvers(a)', 'Rides(a, e)')]","[(' a skateboard', ' a skateboard')]","[(' A young man', ' A person')]",IsYoung(b) and IsInOrangeShirt(b) and Maneuvers(a) and IsAtTop(d),"Rides(a, e)","(exists b (IsYoung(b) and IsInOrangeShirt(b) and Maneuvers(a) and IsAtTop(d)) & (forall e (forall b (forall a (IsYoung(b) -> Rides(a, e))))) & (forall e (forall a (  Maneuvers(a) -> Rides(a, e))))) -> (forall e (Rides(a, e)))","(exists d (exists b (exists a (IsYoung(b) and IsInOrangeShirt(b) and Maneuvers(a) and IsAtTop(d)))) & (forall h (forall f (forall g (IsYoung(f) -> Rides(g,h))))) & (forall j (forall i (  Maneuvers(i) -> Rides(i,j))))) -> (exists e (exists a (Rides(a, e))))"
,1,"A large group of people walking in a busy city at night. Consequently, people are walking a city."," ""A large group of people is walking in a busy city at night.""  "," ""People are walking in a city.""","IsLarge(a),  IsWalking(a),  IsInBusyCity(a),  IsAtNight(b, c)","IsWalking(d),  IsInCity(d, e)","[('  IsInCity(d, e)', '  IsWalking(a)')]",[],"[(' A large group of people', ' People'), (' busy city', ' a city')]","IsLarge(a) and IsWalking(a) and IsInBusyCity(a) and IsAtNight(b, c)","IsWalking(d) and IsInCity(d, e)","(exists b (exists a (IsLarge(a) and IsWalking(a) and IsInBusyCity(a) and IsAtNight(b, c))) & (forall e (forall d (forall a (  IsInCity(d, e) ->   IsWalking(a)))))) -> (forall e (forall d (IsWalking(d) and IsInCity(d, e))))","(exists c (exists b (exists a (IsLarge(a) and IsWalking(a) and IsInBusyCity(a) and IsAtNight(b, c)))) & (forall h (forall f (forall g (  IsInCity(f,g) ->   IsWalking(h)))))) -> (exists e (exists d (IsWalking(d) and IsInCity(d, e))))"
,1,"A group of people are walking by a van. Therefore, some people outdoors."," ""A group of people are walking by a van.""  "," ""Some people are outdoors.""","IsWalkingBy(a, b)",IsOutdoors(c),[],[],"[(' A group of people', ' Some people')]","IsWalkingBy(a, b)",IsOutdoors(c),"(exists a (IsWalkingBy(a, b))) -> (forall c (IsOutdoors(c)))","(exists b (exists a (IsWalkingBy(a, b)))) -> (exists c (IsOutdoors(c)))"
,1,"A white and a black dog fighting in a fenced in room. As a consequence, the dogs are fighting."," ""A white dog and a black dog are fighting in a fenced in room.""  "," ""The dogs are fighting.""","IsWhiteDog(a),  IsBlackDog(b),  IsFighting(a, b),  IsInFencedRoom(a),  IsInFencedRoom(b)",IsFighting(d),"[('IsWhiteDog(a)', 'IsFighting(d)')]",[],"[(' A white dog', ' The dogs'), (' a black dog', ' The dogs')]","IsWhiteDog(a) and IsBlackDog(b) and IsFighting(a, b) and IsInFencedRoom(a) and IsInFencedRoom(b)",IsFighting(d),"(exists b (exists a (IsWhiteDog(a) and IsBlackDog(b) and IsFighting(a, b) and IsInFencedRoom(a) and IsInFencedRoom(b))) & (forall d (forall a (IsWhiteDog(a) -> IsFighting(d))))) -> (forall d (IsFighting(d)))","(exists b (exists a (IsWhiteDog(a) and IsBlackDog(b) and IsFighting(a, b) and IsInFencedRoom(a) and IsInFencedRoom(b))) & (forall e (forall f (IsWhiteDog(e) -> IsFighting(f))))) -> (exists d (IsFighting(d)))"
,1,"A white greyhound dog wearing a muzzle runs around a track. Hence, the dog is racing other dogs."," ""A white greyhound dog wearing a muzzle runs around a track.""  "," ""The white greyhound dog is racing other dogs.""","IsWhiteGreyhoundDog(a),  IsWearingMuzzle(a),  IsRunningAround(a, c)","IsWhiteGreyhoundDog(a),  IsRacing(a, d)",[],"[(' A white greyhound dog', ' The white greyhound dog')]","[(' A white greyhound dog', ' other dogs')]","IsWhiteGreyhoundDog(a) and IsWearingMuzzle(a) and IsRunningAround(a, c)","IsWhiteGreyhoundDog(a) and IsRacing(a, d)","(exists a (IsWhiteGreyhoundDog(a) and IsWearingMuzzle(a) and IsRunningAround(a, c))) -> (forall d (IsWhiteGreyhoundDog(a) and IsRacing(a, d)))","(exists c (exists a (IsWhiteGreyhoundDog(a) and IsWearingMuzzle(a) and IsRunningAround(a, c)))) -> (exists d (exists a (IsWhiteGreyhoundDog(a) and IsRacing(a, d))))"
,1,The pitcher is pitching the ball in a game of baseball. It follows that the pitcher throws the ball.," ""The pitcher is pitching the ball in a game of baseball.""  "," ""The pitcher throws the ball.""","IsPitching(a, b),  IsInGame(a, c)","IsThrowing(a, b)","[('IsPitching(a, b)', 'IsThrowing(a, b)'), ('IsThrowing(a, b)', 'IsPitching(a, b)'), ('  IsInGame(a, c)', 'IsThrowing(a, b)')]","[(' The pitcher', ' The pitcher'), (' the ball', ' the ball')]",[],"IsPitching(a, b) and IsInGame(a, c)","IsThrowing(a, b)","(IsPitching(a, b) and IsInGame(a, c) & (forall b (forall a (IsPitching(a, b) -> IsThrowing(a, b)))) & (forall b (forall a (IsThrowing(a, b) -> IsPitching(a, b)))) & (forall c (forall b (forall a (  IsInGame(a, c) -> IsThrowing(a, b)))))) -> (IsThrowing(a, b))","(exists c (exists b (exists a (IsPitching(a, b) and IsInGame(a, c)))) & (forall e (forall d (IsPitching(d,e) -> IsThrowing(d,e)))) & (forall f (forall g (IsThrowing(f,g) -> IsPitching(f,g)))) & (forall h (forall j (forall i (  IsInGame(h,i) -> IsThrowing(h,j)))))) -> (exists b (exists a (IsThrowing(a, b))))"
,1,"Girl in a red coat, blue head wrap and jeans is making a snow angel. As a consequence, a girl outside plays in the snow."," ""A girl in a red coat, blue head wrap, and jeans is making a snow angel.""  "," ""A girl outside plays in the snow.""","IsInRedCoat(a),  IsInBlueHeadWrap(a),  IsInJeans(a),  IsMakingSnowAngel(a)","IsOutside(e),  IsInSnow(e)",[],[],"[(' A girl in a red coat', ' A girl'), (' snow angel', ' the snow')]",IsInRedCoat(a) and IsInBlueHeadWrap(a) and IsInJeans(a) and IsMakingSnowAngel(a),IsOutside(e) and IsInSnow(e),(exists a (IsInRedCoat(a) and IsInBlueHeadWrap(a) and IsInJeans(a) and IsMakingSnowAngel(a))) -> (forall e (IsOutside(e) and IsInSnow(e))),(exists a (IsInRedCoat(a) and IsInBlueHeadWrap(a) and IsInJeans(a) and IsMakingSnowAngel(a))) -> (exists e (IsOutside(e) and IsInSnow(e)))
,1,"Men in an office with computers and a projector screen. Consequently, there are computers and a projector screen in the room."," ""Men are in an office with computers and a projector screen.""  "," ""There are computers and a projector screen in the room.""","IsInOffice(c),  HasComputers(d, a),  HasProjectorScreen(d, b)","IsInRoom(a),  IsInRoom(b)",[],"[(' computers', ' computers'), (' projector screen', ' projector screen')]",[],"IsInOffice(c) and HasComputers(d, a) and HasProjectorScreen(d, b)",IsInRoom(a) and IsInRoom(b),"(IsInOffice(c) and HasComputers(d, a) and HasProjectorScreen(d, b)) -> (IsInRoom(a) and IsInRoom(b))","(exists c (exists d (exists b (exists a (IsInOffice(c) and HasComputers(d, a) and HasProjectorScreen(d, b)))))) -> (exists b (exists a (IsInRoom(a) and IsInRoom(b))))"
